pair_id,exposure,outcome,ancestry,exposure_source,exposure_file,outcome_source,outcome_file,outcome_phenocode,n_outcome_cases_or_N,power_status,note
P01a,LDL-C,CAD,EUR,GLGC Graham 2021,data/raw/exposures/GLGC_Graham2021/EUR/LDL_INV_EUR_HRC_1KGP3_others_ALL.meta.singlevar.results.gz,FinnGen R12,data/raw/outcomes/FinnGen_R12/finngen_R12_I9_CHD.gz,I9_CHD,56650 cases / 443698 ctrls,POWERED,Primary validation anchor — replicate published EUR IVW within bounded delta
P01b,LDL-C,CAD,EAS,GLGC Graham 2021,data/raw/exposures/GLGC_Graham2021/EAS/LDL_INV_EAS_1KGP3_ALL.meta.singlevar.results.gz,DEFERRED — BBJ Ishigaki 2020 controlled access,—,—,—,DEFERRED,EAS CAD outcome requires NBDC hum0014 application; use AGEN-T2D Spracklen as crude proxy only if BBJ unavailable
P01c,LDL-C,CAD,AFR,GLGC Graham 2021,data/raw/exposures/GLGC_Graham2021/AFR/LDL_INV_AFR_HRC_1KGP3_others_ALL.meta.singlevar.results.gz,DEFERRED — MVP Tcheandjieu 2022 (dbGaP) or GBMI AFR,—,—,—,DEFERRED,"AFR CAD primary source pending; possible GWAS Catalog GCST90132304 deposit (currently empty); Pan-UKB AFR phecode 411 (Ischemic Heart Disease) downloadable but only 400 cases"
P02a,LDL-C,Ischemic stroke,EUR,GLGC Graham 2021,data/raw/exposures/GLGC_Graham2021/EUR/LDL_INV_EUR_HRC_1KGP3_others_ALL.meta.singlevar.results.gz,MEGASTROKE Malik 2018 (AIS EUR),data/raw/outcomes/MEGASTROKE_Malik2018/MEGASTROKE.2.AIS.EUR.out,—,34217 cases / 406111 ctrls,POWERED,Subtype-level (LAS) sensitivity available
P02b,LDL-C,Ischemic stroke,EAS,GLGC Graham 2021,data/raw/exposures/GLGC_Graham2021/EAS/LDL_INV_EAS_1KGP3_ALL.meta.singlevar.results.gz,MEGASTROKE Malik 2018 (AIS trans-ancestry),data/raw/outcomes/MEGASTROKE_Malik2018/MEGASTROKE.2.AIS.TRANS.out,—,trans-ancestry meta,LIMITED,Trans-ancestry MEGASTROKE for cross-ancestry sanity; BBJ EAS stroke would be primary if NBDC application clears
P02c,LDL-C,Ischemic stroke,AFR,GLGC Graham 2021,data/raw/exposures/GLGC_Graham2021/AFR/LDL_INV_AFR_HRC_1KGP3_others_ALL.meta.singlevar.results.gz,DEFERRED — GBMI AFR or MVP,—,—,—,DEFERRED,AFR-specific stroke outcome pending; descriptive-only if not secured
P03a,HDL-C,CAD,EUR,GLGC Graham 2021,data/raw/exposures/GLGC_Graham2021/EUR/HDL_INV_EUR_HRC_1KGP3_others_ALL.meta.singlevar.results.gz,FinnGen R12,data/raw/outcomes/FinnGen_R12/finngen_R12_I9_CHD.gz,I9_CHD,56650 cases / 443698 ctrls,POWERED,Negative-control-ish — prior MR generally null
P03b,HDL-C,CAD,EAS,GLGC Graham 2021,data/raw/exposures/GLGC_Graham2021/EAS/HDL_INV_EAS_1KGP3_ALL.meta.singlevar.results.gz,DEFERRED — BBJ,—,—,—,DEFERRED,Same as P01b
P03c,HDL-C,CAD,AFR,GLGC Graham 2021,data/raw/exposures/GLGC_Graham2021/AFR/HDL_INV_AFR_HRC_1KGP3_others_ALL.meta.singlevar.results.gz,DEFERRED — MVP/GBMI,—,—,—,DEFERRED,Same as P01c
P04a,Triglycerides,CAD,EUR,GLGC Graham 2021,data/raw/exposures/GLGC_Graham2021/EUR/logTG_INV_EUR_HRC_1KGP3_others_ALL.meta.singlevar.results.gz,FinnGen R12,data/raw/outcomes/FinnGen_R12/finngen_R12_I9_CHD.gz,I9_CHD,56650 cases / 443698 ctrls,POWERED,TG is log-transformed in GLGC
P04b,Triglycerides,CAD,EAS,GLGC Graham 2021,data/raw/exposures/GLGC_Graham2021/EAS/logTG_INV_EAS_1KGP3_ALL.meta.singlevar.results.gz,DEFERRED — BBJ,—,—,—,DEFERRED,Same as P01b
P04c,Triglycerides,CAD,AFR,GLGC Graham 2021,data/raw/exposures/GLGC_Graham2021/AFR/logTG_INV_AFR_HRC_1KGP3_others_ALL.meta.singlevar.results.gz,DEFERRED — MVP/GBMI,—,—,—,DEFERRED,Same as P01c
P05a,BMI,T2D,EUR,GIANT Yengo 2018 (Locke+UKB meta),data/raw/exposures/GIANT_BMI/GIANT_2018_Yengo_BMI_EUR_Locke_UKB_meta.txt.gz,FinnGen R12,data/raw/outcomes/FinnGen_R12/finngen_R12_T2D.gz,T2D,82878 cases / 403489 ctrls,POWERED,Among best-replicated EUR MR pairs
P05b,BMI,T2D,EAS,GIANT Turcot 2018 EAS exome (limited),data/raw/exposures/GIANT_BMI/GIANT_2018_Turcot_BMI_EAS_Exome.fmt.gz,AGEN-T2D Spracklen 2020,data/raw/outcomes/AGEN_Spracklen2020/SpracklenCN_prePMID_T2D_ALL_Primary.txt.gz,—,77418 cases / 356122 ctrls,LIMITED,Turcot is exome-array — narrow instrument coverage. BBJ Akiyama 2017 would be the primary BMI EAS source pending NBDC application
P05c,BMI,T2D,AFR,GIANT Turcot 2018 AFR exome (limited); Pan-UKB AFR BMI 21001,data/raw/exposures/GIANT_BMI/GIANT_2018_Turcot_BMI_AFR_AmericanExome.fmt.gz; data/raw/outcomes/PanUKB_AFR/continuous-21001-both_sexes-irnt.tsv.bgz,DEFERRED — MVP/GBMI AFR T2D primary,—,—,DEFERRED,Pan-UKB AFR T2D phecode 250.2 has only 796 cases (below 3000 floor)
P06a,Urate,Gout,EUR,CKDGen Tin 2019 EUR (Sinnott-Armstrong UKB as sensitivity),data/raw/exposures/CKDGen_Tin2019/urate_chr1_22_LQ_IQ06_mac10_EA_60_prec1_nstud30_summac400_rsid.txt.gz,FinnGen R12,data/raw/outcomes/FinnGen_R12/finngen_R12_M13_GOUT.gz,M13_GOUT,12342 cases / 315115 ctrls,POWERED,FinnGen phenocode FIXED: plan said GOUT → M13_GOUT (12342 cases)
P06b,Urate,Gout,EAS,CKDGen Tin 2019 trans-ethnic,data/raw/exposures/CKDGen_Tin2019/urate_chr1_22_LQ_IQ06_mac10_all_741_nstud37_summac400_rsid.txt.gz,DEFERRED — BBJ gout,—,—,—,DEFERRED,Trans-ethnic CKDGen used as exposure; EAS-specific arm requires BBJ
